Births (1-year) 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName  Year          Female      Male     Total
AUS      1860           23262     24464     47726
AUS      1861           23806     25102     48908
AUS      1862           24896     26483     51379
AUS      1863           25134     26233     51367
AUS      1864           26838     28608     55446
AUS      1865           27986     29175     57161
AUS      1866           27457     28927     56384
AUS      1867           28922     30245     59167
AUS      1868           29896     31269     61165
AUS      1869           29527     30996     60523
AUS      1870           30437     32195     62632
AUS      1871           30921     32704     63625
AUS      1872           31589     32233     63822
AUS      1873           32561     33667     66228
AUS      1874           32809     34221     67030
AUS      1875           32970     34257     67227
AUS      1876           33903     35358     69261
AUS      1877           34041     35752     69793
AUS      1878           35321     37640     72961
AUS      1879           37203     38882     76085
AUS      1880           37757     39683     77440
AUS      1881           38884     41120     80004
AUS      1882           39600     41343     80943
AUS      1883           41533     43669     85202
AUS      1884           44392     46602     90994
AUS      1885           46210     48363     94573
AUS      1886           47227     49733     96960
AUS      1887           49309     51607    100916
AUS      1888           50888     53192    104080
AUS      1889           50678     54046    104724
AUS      1890           53384     55299    108683
AUS      1891           53758     56429    110187
AUS      1892           53699     56459    110158
AUS      1893           53125     56197    109322
AUS      1894           50957     53703    104660
AUS      1895           51184     53900    105084
AUS      1896           48979     51155    100134
AUS      1897           49440     51697    101137
AUS      1898           48041     50804     98845
AUS      1899           49209     51429    100638
AUS      1900           49881     52340    102221
AUS      1901           50436     52509    102945
AUS      1902           50160     52616    102776
AUS      1903           48037     50406     98443
AUS      1904           50755     53358    104113
AUS      1905           51046     53895    104941
AUS      1906           52376     55514    107890
AUS      1907           53858     56489    110347
AUS      1908           54432     57113    111545
AUS      1909           55589     58482    114071
AUS      1910           56595     60206    116801
AUS      1911           59685     62508    122193
AUS      1912           65066     68022    133088
AUS      1913           66280     69434    135714
AUS      1914           67379     70604    137983
AUS      1915           65822     69049    134871
AUS      1916           63921     67505    131426
AUS      1917           63082     66883    129965
AUS      1918           61281     64458    125739
AUS      1919           59359     62931    122290
AUS      1920           66150     70256    136406
AUS      1921           66159     70039    136198
AUS      1922           66914     70582    137496
AUS      1923           65857     69365    135222
AUS      1924           66127     68800    134927
AUS      1925           66250     69542    135792
AUS      1926           64740     68422    133162
AUS      1927           64818     68880    133698
AUS      1928           64926     69152    134078
AUS      1929           62857     66623    129480
AUS      1930           62516     65883    128399
AUS      1931           57488     61021    118509
AUS      1932           53958     56975    110933
AUS      1933           54109     57160    111269
AUS      1934           53627     55848    109475
AUS      1935           54433     56892    111325
AUS      1936           56679     59394    116073
AUS      1937           58226     60905    119131
AUS      1938           58523     61892    120415
AUS      1939           59838     63053    122891
AUS      1940           61752     64595    126347
AUS      1941           65564     68961    134525
AUS      1942           66481     70227    136708
AUS      1943           72942     76353    149295
AUS      1944           75002     78342    153344
AUS      1945           78103     82457    160560
AUS      1946           85411     90968    176379
AUS      1947           88566     93818    182384
AUS      1948           86665     91311    177976
AUS      1949           88515     92746    181261
AUS      1950           92761     97830    190591
