Life tables (cohort 5x1), Total 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
CHE        1876           0      0.26191  0.22161  0.31  100000   22161   84614  4503342  45.03
CHE        1876         1-4      0.02268  0.08569  1.41   77839    6670  294080  4418728  56.77
CHE        1876         5-9      0.00568  0.02793  2.02   71169    1988  349923  4124647  57.96
CHE        1876        10-14     0.00300  0.01490  2.69   69182    1031  343526  3774725  54.56
CHE        1876        15-19     0.00465  0.02301  2.66   68150    1568  337091  3431199  50.35
CHE        1876        20-24     0.00553  0.02726  2.51   66583    1815  328388  3094107  46.47
CHE        1876        25-29     0.00592  0.02918  2.55   64767    1890  319200  2765720  42.70
CHE        1876        30-34     0.00617  0.03038  2.51   62877    1910  309635  2446520  38.91
CHE        1876        35-39     0.00663  0.03260  2.53   60967    1988  299930  2136885  35.05
CHE        1876        40-44     0.00902  0.04411  2.54   58979    2601  288497  1836954  31.15
CHE        1876        45-49     0.00872  0.04271  2.63   56378    2408  276180  1548458  27.47
CHE        1876        50-54     0.01255  0.06092  2.63   53970    3288  262043  1272277  23.57
CHE        1876        55-59     0.01712  0.08223  2.60   50682    4167  243395  1010234  19.93
CHE        1876        60-64     0.02325  0.11017  2.62   46515    5124  220395   766840  16.49
CHE        1876        65-69     0.03578  0.16511  2.67   41390    6834  191004   546445  13.20
CHE        1876        70-74     0.05691  0.24962  2.54   34556    8626  151578   355440  10.29
CHE        1876        75-79     0.08756  0.36098  2.57   25930    9360  106903   203863   7.86
CHE        1876        80-84     0.13164  0.49072  2.41   16570    8131   61767    96960   5.85
CHE        1876        85-89     0.21484  0.67297  2.22    8439    5679   26434    35192   4.17
CHE        1876        90-94     0.29429  0.79221  2.09    2760    2186    7429     8759   3.17
CHE        1876        95-99     0.41709  0.90335  1.86     573     518    1242     1329   2.32
CHE        1876       100-104    0.62546  0.95918  1.39      55      53      85       87   1.57
CHE        1876       105-109    0.99689  1.00000  1.00       2       2       2        2   1.00
CHE        1876       110+             .        .     .       0       0       0        0      .
CHE        1877           0      0.23866  0.20474  0.31  100000   20474   85787  4618045  46.18
CHE        1877         1-4      0.02175  0.08256  1.52   79526    6565  301797  4532258  56.99
CHE        1877         5-9      0.00522  0.02570  2.11   72961    1875  359376  4230461  57.98
CHE        1877        10-14     0.00312  0.01546  2.55   71085    1099  352733  3871085  54.46
CHE        1877        15-19     0.00467  0.02312  2.71   69987    1618  346235  3518352  50.27
CHE        1877        20-24     0.00563  0.02776  2.51   68368    1898  337109  3172117  46.40
CHE        1877        25-29     0.00624  0.03072  2.51   66470    2042  327272  2835008  42.65
CHE        1877        30-34     0.00619  0.03048  2.52   64428    1964  317264  2507736  38.92
CHE        1877        35-39     0.00679  0.03338  2.57   62464    2085  307258  2190472  35.07
CHE        1877        40-44     0.00886  0.04330  2.44   60379    2614  295201  1883214  31.19
CHE        1877        45-49     0.00924  0.04518  2.59   57765    2610  282546  1588013  27.49
CHE        1877        50-54     0.01279  0.06209  2.64   55155    3425  267677  1305467  23.67
CHE        1877        55-59     0.01634  0.07857  2.56   51730    4065  248735  1037790  20.06
CHE        1877        60-64     0.02341  0.11074  2.57   47666    5279  225528   789055  16.55
CHE        1877        65-69     0.03564  0.16447  2.66   42387    6971  195616   563527  13.29
CHE        1877        70-74     0.05558  0.24439  2.53   35416    8655  155736   367911  10.39
CHE        1877        75-79     0.08732  0.35884  2.52   26761    9603  109979   212176   7.93
CHE        1877        80-84     0.12926  0.48436  2.41   17158    8311   64295   102197   5.96
CHE        1877        85-89     0.20645  0.65560  2.22    8847    5800   28095    37902   4.28
CHE        1877        90-94     0.29039  0.77896  2.02    3047    2373    8173     9807   3.22
CHE        1877        95-99     0.39581  0.86855  1.77     673     585    1478     1634   2.43
