Death rates (period 5x5), 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age             Female            Male           Total
AUS      1921-1924        0             0.053821        0.068585        0.061351
AUS      1921-1924      1-4             0.005085        0.005994        0.005548
AUS      1921-1924      5-9             0.001563        0.001808        0.001687
AUS      1921-1924     10-14            0.001197        0.001510        0.001356
AUS      1921-1924     15-19            0.001853        0.002251        0.002055
AUS      1921-1924     20-24            0.002866        0.003013        0.002939
AUS      1921-1924     25-29            0.003467        0.003475        0.003471
AUS      1921-1924     30-34            0.003947        0.003962        0.003955
AUS      1921-1924     35-39            0.004852        0.005214        0.005037
AUS      1921-1924     40-44            0.005260        0.006870        0.006087
AUS      1921-1924     45-49            0.006840        0.009623        0.008275
AUS      1921-1924     50-54            0.009370        0.012921        0.011236
AUS      1921-1924     55-59            0.012910        0.018279        0.015786
AUS      1921-1924     60-64            0.019431        0.028338        0.024205
AUS      1921-1924     65-69            0.030575        0.041683        0.036488
AUS      1921-1924     70-74            0.048982        0.063777        0.056649
AUS      1921-1924     75-79            0.084379        0.101756        0.092889
AUS      1921-1924     80-84            0.123410        0.144128        0.133257
AUS      1921-1924     85-89            0.199149        0.225259        0.211105
AUS      1921-1924     90-94            0.253846        0.282144        0.266706
AUS      1921-1924     95-99            0.372313        0.342902        0.359166
AUS      1921-1924    100-104           0.381038        0.360498        0.370261
AUS      1921-1924    105-109           0.227964        0.168539        0.177809
AUS      1921-1924    110+                    .        0.501672        0.501672
AUS      1925-1929        0             0.048495        0.061751        0.055264
AUS      1925-1929      1-4             0.004487        0.005158        0.004828
AUS      1925-1929      5-9             0.001362        0.001689        0.001528
AUS      1925-1929     10-14            0.001035        0.001378        0.001209
AUS      1925-1929     15-19            0.001636        0.002167        0.001908
AUS      1925-1929     20-24            0.002753        0.002847        0.002802
AUS      1925-1929     25-29            0.003289        0.003223        0.003256
AUS      1925-1929     30-34            0.003603        0.003755        0.003678
AUS      1925-1929     35-39            0.004477        0.004835        0.004659
AUS      1925-1929     40-44            0.005124        0.006399        0.005779
AUS      1925-1929     45-49            0.006676        0.009200        0.007978
AUS      1925-1929     50-54            0.008903        0.012982        0.011003
AUS      1925-1929     55-59            0.012476        0.018069        0.015388
AUS      1925-1929     60-64            0.019087        0.027126        0.023332
AUS      1925-1929     65-69            0.030342        0.041356        0.036142
AUS      1925-1929     70-74            0.048528        0.062729        0.055896
AUS      1925-1929     75-79            0.081938        0.102476        0.092185
AUS      1925-1929     80-84            0.123527        0.148917        0.135237
AUS      1925-1929     85-89            0.198944        0.224494        0.210363
AUS      1925-1929     90-94            0.258124        0.303647        0.277116
AUS      1925-1929     95-99            0.407521        0.382042        0.396638
AUS      1925-1929    100-104           0.400477        0.354035        0.375222
AUS      1925-1929    105-109           0.469641        0.319744        0.362353
AUS      1925-1929    110+              0.000000        2.112676        1.879405
AUS      1930-1934        0             0.038612        0.048739        0.043795
AUS      1930-1934      1-4             0.003665        0.004244        0.003961
AUS      1930-1934      5-9             0.001170        0.001553        0.001364
AUS      1930-1934     10-14            0.000872        0.001247        0.001063
AUS      1930-1934     15-19            0.001393        0.001806        0.001602
AUS      1930-1934     20-24            0.002210        0.002387        0.002301
AUS      1930-1934     25-29            0.002741        0.002632        0.002684
AUS      1930-1934     30-34            0.003018        0.003095        0.003057
AUS      1930-1934     35-39            0.003743        0.003971        0.003856
AUS      1930-1934     40-44            0.004368        0.005337        0.004858
AUS      1930-1934     45-49            0.006059        0.007720        0.006909
AUS      1930-1934     50-54            0.008346        0.011470        0.009948
AUS      1930-1934     55-59            0.011416        0.017256        0.014376
AUS      1930-1934     60-64            0.017797        0.025690        0.021803
AUS      1930-1934     65-69            0.028959        0.039570        0.034392
AUS      1930-1934     70-74            0.046389        0.060815        0.053735
AUS      1930-1934     75-79            0.077388        0.097597        0.087376
AUS      1930-1934     80-84            0.114610        0.141750        0.127309
AUS      1930-1934     85-89            0.184955        0.217461        0.198827
AUS      1930-1934     90-94            0.263246        0.276947        0.268972
AUS      1930-1934     95-99            0.386275        0.372534        0.380883
AUS      1930-1934    100-104           0.460562        0.425850        0.442651
AUS      1930-1934    105-109           0.634809        0.646684        0.642679
AUS      1930-1934    110+              0.803213        2.112676        1.163919
AUS      1935-1939        0             0.035588        0.045574        0.040681
AUS      1935-1939      1-4             0.003313        0.003705        0.003513
AUS      1935-1939      5-9             0.001140        0.001514        0.001331
AUS      1935-1939     10-14            0.000831        0.001233        0.001034
AUS      1935-1939     15-19            0.001277        0.001864        0.001575
AUS      1935-1939     20-24            0.001924        0.002409        0.002169
AUS      1935-1939     25-29            0.002492        0.002510        0.002501
AUS      1935-1939     30-34            0.002823        0.002740        0.002780
AUS      1935-1939     35-39            0.003562        0.003917        0.003742
AUS      1935-1939     40-44            0.004199        0.005271        0.004730
AUS      1935-1939     45-49            0.005792        0.007926        0.006867
AUS      1935-1939     50-54            0.008116        0.011875        0.010030
AUS      1935-1939     55-59            0.011492        0.017912        0.014745
AUS      1935-1939     60-64            0.017924        0.027273        0.022575
AUS      1935-1939     65-69            0.029386        0.041483        0.035358
AUS      1935-1939     70-74            0.047142        0.063164        0.055064
AUS      1935-1939     75-79            0.079787        0.100482        0.089840
AUS      1935-1939     80-84            0.118357        0.146558        0.131525
AUS      1935-1939     85-89            0.194567        0.225743        0.207955
AUS      1935-1939     90-94            0.267958        0.294497        0.278257
AUS      1935-1939     95-99            0.421328        0.396165        0.410782
AUS      1935-1939    100-104           0.565532        0.339230        0.447874
AUS      1935-1939    105-109           0.929368        0.544959        0.648056
AUS      1935-1939    110+                    .        2.112676        2.112676
AUS      1940-1944        0             0.034173        0.043252        0.038806
AUS      1940-1944      1-4             0.002804        0.003352        0.003083
AUS      1940-1944      5-9             0.001028        0.001373        0.001204
AUS      1940-1944     10-14            0.000748        0.001137        0.000946
AUS      1940-1944     15-19            0.001005        0.001549        0.001279
AUS      1940-1944     20-24            0.001560        0.001603        0.001582
AUS      1940-1944     25-29            0.001972        0.001706        0.001838
AUS      1940-1944     30-34            0.002297        0.002103        0.002198
AUS      1940-1944     35-39            0.002891        0.003052        0.002975
AUS      1940-1944     40-44            0.003778        0.004521        0.004155
AUS      1940-1944     45-49            0.005409        0.007403        0.006392
AUS      1940-1944     50-54            0.007900        0.011508        0.009707
AUS      1940-1944     55-59            0.011257        0.017670        0.014481
AUS      1940-1944     60-64            0.017783        0.028276        0.022978
AUS      1940-1944     65-69            0.029131        0.043027        0.035847
AUS      1940-1944     70-74            0.047841        0.065143        0.056078
AUS      1940-1944     75-79            0.080746        0.101550        0.090531
AUS      1940-1944     80-84            0.119790        0.149304        0.133182
AUS      1940-1944     85-89            0.193927        0.229889        0.209194
AUS      1940-1944     90-94            0.278021        0.305911        0.288955
AUS      1940-1944     95-99            0.421831        0.440769        0.428886
AUS      1940-1944    100-104           0.641309        0.714316        0.674425
AUS      1940-1944    105-109           2.184466        1.563025        1.750733
AUS      1940-1944    110+                    .        2.112676        2.112676
AUS      1945-1949        0             0.025504        0.032563        0.029118
AUS      1945-1949      1-4             0.001656        0.002033        0.001849
AUS      1945-1949      5-9             0.000654        0.000933        0.000796
AUS      1945-1949     10-14            0.000531        0.000795        0.000666
AUS      1945-1949     15-19            0.000715        0.001378        0.001051
AUS      1945-1949     20-24            0.001050        0.001590        0.001322
AUS      1945-1949     25-29            0.001431        0.001617        0.001524
AUS      1945-1949     30-34            0.001745        0.001929        0.001837
AUS      1945-1949     35-39            0.002376        0.002624        0.002503
AUS      1945-1949     40-44            0.003256        0.004042        0.003664
AUS      1945-1949     45-49            0.004976        0.006763        0.005883
AUS      1945-1949     50-54            0.007438        0.011019        0.009196
AUS      1945-1949     55-59            0.010418        0.017461        0.013910
AUS      1945-1949     60-64            0.016320        0.027071        0.021612
AUS      1945-1949     65-69            0.026247        0.042094        0.033814
AUS      1945-1949     70-74            0.045066        0.062973        0.053387
AUS      1945-1949     75-79            0.074700        0.098751        0.085586
AUS      1945-1949     80-84            0.116473        0.142234        0.127778
AUS      1945-1949     85-89            0.188081        0.225501        0.203595
AUS      1945-1949     90-94            0.268317        0.306361        0.282817
AUS      1945-1949     95-99            0.394546        0.404200        0.398004
AUS      1945-1949    100-104           0.617929        0.748038        0.664277
AUS      1945-1949    105-109           6.000000              .        6.000000
AUS      1945-1949    110+                    .              .              .
AUS      1950-1954        0             0.021491        0.027269        0.024444
AUS      1950-1954      1-4             0.001438        0.001781        0.001613
AUS      1950-1954      5-9             0.000545        0.000759        0.000655
AUS      1950-1954     10-14            0.000444        0.000690        0.000569
AUS      1950-1954     15-19            0.000631        0.001521        0.001086
AUS      1950-1954     20-24            0.000783        0.002010        0.001418
AUS      1950-1954     25-29            0.000984        0.001738        0.001374
AUS      1950-1954     30-34            0.001280        0.001846        0.001569
AUS      1950-1954     35-39            0.001906        0.002537        0.002226
AUS      1950-1954     40-44            0.002803        0.003839        0.003341
AUS      1950-1954     45-49            0.004459        0.006335        0.005441
AUS      1950-1954     50-54            0.006847        0.010865        0.008876
AUS      1950-1954     55-59            0.009767        0.017550        0.013534
AUS      1950-1954     60-64            0.015344        0.027663        0.021305
