Life expectancy at birth (cohort, 1x1) 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year       Female    Male     Total
CHE        1876        47.06    43.06    45.03
CHE        1877        48.14    44.26    46.18
CHE        1878        48.25    44.20    46.22
CHE        1879        48.68    44.24    46.44
CHE        1880        49.82    45.81    47.81
CHE        1881        51.16    46.93    49.05
CHE        1882        51.88    47.98    49.94
CHE        1883        52.12    48.41    50.26
CHE        1884        52.41    48.26    50.34
CHE        1885        52.39    48.35    50.38
CHE        1886        53.38    48.75    51.10
CHE        1887        53.14    48.46    50.81
CHE        1888        53.95    49.38    51.68
CHE        1889        54.40    49.80    52.14
CHE        1890        54.81    49.46    52.16
CHE        1891        55.93    50.75    53.39
CHE        1892        56.28    51.07    53.71
CHE        1893        56.38    51.29    53.89
CHE        1894        57.09    51.78    54.50
CHE        1895        57.48    51.87    54.70
CHE        1896        58.70    52.90    55.85
CHE        1897        58.53    52.96    55.79
CHE        1898        58.46    52.41    55.50
CHE        1899        59.14    53.15    56.18
CHE        1900        59.63    53.31    56.51
CHE        1901        61.08    54.97    58.08
CHE        1902        61.14    55.05    58.12
CHE        1903        61.29    55.47    58.41
CHE        1904        61.91    55.60    58.78
CHE        1905        63.08    56.39    59.76
CHE        1906        63.52    57.06    60.31
CHE        1907        64.72    57.78    61.26
CHE        1908        65.50    58.24    61.89
CHE        1909        65.12    58.52    61.85
CHE        1910        66.39    59.21    62.80
CHE        1911        66.29    59.09    62.71
CHE        1912        67.73    60.66    64.19
CHE        1913        68.40    61.21    64.80
CHE        1914        69.12    61.79    65.43
CHE        1915        69.57    62.14    65.85
CHE        1916        70.58    62.86    66.66
CHE        1917        70.44    63.04    66.71
CHE        1918        70.56    62.81    66.64
CHE        1919        71.04    63.32    67.16
CHE        1920        72.34    64.45    68.35
CHE        1921        73.35    65.48    69.41
CHE        1922        73.61    66.11    69.87
CHE        1923        74.62    66.79    70.71
CHE        1924        74.87    67.13    71.06
CHE        1925        75.27    67.90    71.64
CHE        1926        75.66    67.92    71.83
CHE        1927        76.06    68.70    72.40
CHE        1928        76.64    69.04    72.88
CHE        1929        77.13    69.64    73.42
CHE        1930        77.45    69.98    73.71
CHE        1931        77.77    70.78    74.28
CHE        1932        77.87    70.99    74.42
DNK        1835        45.38    42.44    43.89
DNK        1836        45.56    42.98    44.25
DNK        1837        45.80    43.26    44.52
DNK        1838        44.99    42.66    43.81
DNK        1839        45.92    43.20    44.55
DNK        1840        45.81    43.28    44.53
DNK        1841        45.79    43.79    44.77
DNK        1842        46.07    43.76    44.91
DNK        1843        46.10    43.76    44.92
DNK        1844        45.77    43.54    44.65
DNK        1845        44.04    41.48    42.74
DNK        1846        43.52    40.87    42.18
DNK        1847        44.45    42.00    43.21
DNK        1848        45.55    42.88    44.20
DNK        1849        45.98    43.70    44.83
DNK        1850        45.74    43.90    44.81
DNK        1851        44.88    42.99    43.93
DNK        1852        44.29    42.05    43.16
DNK        1853        45.51    43.06    44.27
DNK        1854        46.75    45.08    45.91
DNK        1855        47.43    45.62    46.52
DNK        1856        47.05    45.23    46.15
DNK        1857        47.33    45.59    46.46
DNK        1858        48.29    46.29    47.29
DNK        1859        48.90    46.96    47.92
DNK        1860        48.58    46.89    47.75
DNK        1861        48.04    46.44    47.24
DNK        1862        47.58    46.15    46.87
DNK        1863        47.69    45.74    46.71
DNK        1864        47.49    45.62    46.56
DNK        1865        49.16    47.53    48.35
DNK        1866        50.13    48.57    49.35
DNK        1867        50.18    48.45    49.31
DNK        1868        50.49    48.78    49.64
DNK        1869        51.25    49.16    50.21
DNK        1870        51.59    49.65    50.61
DNK        1871        51.29    50.05    50.66
DNK        1872        51.76    50.26    51.01
DNK        1873        51.03    49.35    50.17
DNK        1874        50.32    48.68    49.49
DNK        1875        50.81    49.32    50.06
DNK        1876        51.80    50.43    51.11
DNK        1877        51.94    50.79    51.36
DNK        1878        52.13    50.75    51.43
DNK        1879        51.67    50.12    50.89
DNK        1880        53.01    51.23    52.11
DNK        1881        53.20    51.50    52.34
DNK        1882        53.04    51.30    52.16
DNK        1883        53.56    51.77    52.66
DNK        1884        54.46    52.45    53.45
DNK        1885        54.54    52.59    53.56
DNK        1886        54.00    51.86    52.93
DNK        1887        54.57    52.19    53.38
DNK        1888        54.78    52.30    53.54
DNK        1889        54.68    51.87    53.27
DNK        1890        56.00    53.16    54.58
DNK        1891        56.44    53.17    54.80
DNK        1892        57.08    53.30    55.19
DNK        1893        57.56    54.06    55.82
DNK        1894        58.80    55.16    56.97
DNK        1895        59.75    55.52    57.63
DNK        1896        60.46    56.07    58.28
DNK        1897        60.62    56.06    58.32
DNK        1898        60.60    55.70    58.15
DNK        1899        60.73    55.51    58.12
DNK        1900        61.85    56.74    59.30
DNK        1901        62.43    57.02    59.72
DNK        1902        63.79    58.58    61.18
DNK        1903        63.96    58.68    61.30
DNK        1904        64.17    58.56    61.35
DNK        1905        64.31    58.97    61.61
DNK        1906        65.09    59.18    62.11
DNK        1907        64.80    59.02    61.88
DNK        1908        65.41    59.50    62.44
DNK        1909        66.87    60.77    63.78
DNK        1910        66.91    61.01    63.93
DNK        1911        66.97    61.23    64.06
DNK        1912        68.13    61.96    64.99
DNK        1913        68.10    61.79    64.91
DNK        1914        68.06    61.45    64.71
