Life expectancy at birth (cohort, 1x5) 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year       Female    Male     Total
CHE      1876-1879     48.02    43.93    45.96
CHE      1880-1884     51.47    47.47    49.47
CHE      1885-1889     53.46    48.95    51.23
CHE      1890-1894     56.12    50.89    53.55
CHE      1895-1899     58.48    52.67    55.62
CHE      1900-1904     61.01    54.89    57.99
CHE      1905-1909     64.39    57.60    61.01
CHE      1910-1914     67.56    60.37    63.96
CHE      1915-1919     70.44    62.83    66.60
CHE      1920-1924     73.74    65.96    69.85
CHE      1925-1929     76.15    68.64    72.43
CHE      1930-1932     77.70    70.58    74.13
DNK      1835-1839     45.54    42.91    44.21
DNK      1840-1844     45.91    43.63    44.76
DNK      1845-1849     44.74    42.21    43.46
DNK      1850-1854     45.45    43.43    44.43
DNK      1855-1859     47.82    45.95    46.89
DNK      1860-1864     47.89    46.17    47.03
DNK      1865-1869     50.24    48.50    49.37
DNK      1870-1874     51.20    49.59    50.38
DNK      1875-1879     51.68    50.29    50.98
DNK      1880-1884     53.47    51.67    52.56
DNK      1885-1889     54.52    52.18    53.35
DNK      1890-1894     57.19    53.78    55.49
DNK      1895-1899     60.44    55.77    58.10
DNK      1900-1904     63.24    57.92    60.57
DNK      1905-1909     65.31    59.50    62.38
DNK      1910-1914     67.63    61.49    64.52
DNK      1915-1919     68.76    62.39    65.52
DNK      1920-1924     70.41    63.81    67.07
DNK      1925-1929     71.21    65.06    68.08
DNK      1930-1933     72.59    66.72    69.61
ESP      1908-1909     50.04    44.38    47.16
ESP      1910-1914     52.68    46.22    49.48
ESP      1915-1919     53.92    46.95    50.47
ESP      1920-1924     58.49    51.82    55.10
ESP      1925-1929     63.39    56.65    59.96
ESP      1930-1932     65.92    58.77    62.27
FIN      1878-1879     44.81    39.83    42.30
FIN      1880-1884     45.23    39.89    42.55
FIN      1885-1889     46.93    41.15    44.04
FIN      1890-1894     48.95    42.38    45.64
FIN      1895-1899     50.00    42.27    46.08
FIN      1900-1904     52.60    44.55    48.49
FIN      1905-1909     55.84    46.80    51.22
FIN      1910-1914     58.23    47.56    52.74
FIN      1915-1919     60.25    47.43    53.66
FIN      1920-1924     65.69    52.10    58.70
FIN      1925-1929     69.12    58.74    63.75
FIN      1930-1933     72.46    63.25    67.69
FRACNP   1816-1819     39.77    37.43    38.57
FRACNP   1820-1824     39.48    37.38    38.39
FRACNP   1825-1829     39.85    37.68    38.73
FRACNP   1830-1834     40.42    37.94    39.14
FRACNP   1835-1839     41.71    39.53    40.59
FRACNP   1840-1844     42.61    40.25    41.40
FRACNP   1845-1849     42.44    39.21    40.78
FRACNP   1850-1854     43.10    39.67    41.34
FRACNP   1855-1859     42.82    39.58    41.16
FRACNP   1860-1864     44.31    40.82    42.52
FRACNP   1865-1869     44.75    40.49    42.58
FRACNP   1870-1874     45.98    41.43    43.77
FRACNP   1875-1879     48.19    43.10    45.78
FRACNP   1880-1884     49.07    43.19    46.34
FRACNP   1885-1889     50.72    44.24    47.74
FRACNP   1890-1894     52.31    45.00    49.02
FRACNP   1895-1899     54.64    46.25    50.86
FRACNP   1900-1904     57.30    49.90    53.49
FRACNP   1905-1909     60.23    52.75    56.41
FRACNP   1910-1914     62.63    54.75    58.65
FRACNP   1915-1919     63.72    54.92    59.31
FRACNP   1920-1924     69.28    60.11    64.61
FRACNP   1925-1929     71.66    62.21    66.80
FRACNP   1930-1932     74.34    64.86    69.46
FRATNP   1816-1819     39.77    37.43    38.57
FRATNP   1820-1824     39.48    37.38    38.39
FRATNP   1825-1829     39.85    37.68    38.73
FRATNP   1830-1834     40.42    37.94    39.14
FRATNP   1835-1839     41.71    39.53    40.59
FRATNP   1840-1844     42.61    40.25    41.40
FRATNP   1845-1849     42.44    39.21    40.78
FRATNP   1850-1854     43.10    39.67    41.34
FRATNP   1855-1859     42.82    39.58    41.16
FRATNP   1860-1864     44.31    40.82    42.52
FRATNP   1865-1869     44.75    40.54    42.59
FRATNP   1870-1874     45.98    41.56    43.71
FRATNP   1875-1879     48.18    42.58    45.31
FRATNP   1880-1884     49.05    40.60    44.72
FRATNP   1885-1889     50.69    40.19    45.32
FRATNP   1890-1894     52.28    38.65    45.28
FRATNP   1895-1899     54.57    42.68    48.43
FRATNP   1900-1904     57.17    49.53    53.21
FRATNP   1905-1909     60.02    52.07    55.92
FRATNP   1910-1914     62.31    53.62    57.85
FRATNP   1915-1919     62.79    52.31    57.33
FRATNP   1920-1924     68.54    58.61    63.43
FRATNP   1925-1929     71.52    62.05    66.65
FRATNP   1930-1932     74.23    64.77    69.36
GBR_SCO  1855-1859     44.71    42.36    43.53
GBR_SCO  1860-1864     45.02    42.33    43.67
GBR_SCO  1865-1869     46.42    43.78    45.09
GBR_SCO  1870-1874     47.74    44.87    46.29
GBR_SCO  1875-1879     50.10    47.08    48.59
GBR_SCO  1880-1884     51.75    48.25    50.04
GBR_SCO  1885-1889     52.85    48.61    50.80
GBR_SCO  1890-1894     53.91    48.92    51.51
GBR_SCO  1895-1899     55.27    49.44    52.46
GBR_SCO  1900-1904     57.73    51.28    54.51
GBR_SCO  1905-1909     59.51    53.02    56.27
GBR_SCO  1910-1914     60.38    53.92    57.17
GBR_SCO  1915-1919     62.06    55.15    58.74
GBR_SCO  1920-1924     64.65    57.42    61.10
GBR_SCO  1925-1929     67.08    60.64    63.83
GBR_SCO  1930-1931     68.77    62.73    65.74
GBRCENW  1841-1844     42.99    39.73    41.34
GBRCENW  1845-1849     43.19    39.72    41.44
GBRCENW  1850-1854     44.40    40.94    42.65
GBRCENW  1855-1859     45.27    41.63    43.43
GBRCENW  1860-1864     46.90    43.05    44.96
GBRCENW  1865-1869     47.85    43.77    45.79
GBRCENW  1870-1874     50.15    45.72    47.92
GBRCENW  1875-1879     51.62    46.42    49.02
GBRCENW  1880-1884     53.83    48.10    51.02
GBRCENW  1885-1889     54.34    47.88    51.24
GBRCENW  1890-1894     55.24    48.36    52.01
GBRCENW  1895-1899     55.87    48.89    52.52
GBRCENW  1900-1904     58.74    52.03    55.36
GBRCENW  1905-1909     61.58    54.84    58.18
GBRCENW  1910-1914     63.19    56.46    59.81
GBRCENW  1915-1919     66.13    59.20    62.72
GBRCENW  1920-1924     68.75    62.03    65.40
GBRCENW  1925-1929     71.15    65.02    68.03
GBRCENW  1930-1931     73.12    67.11    70.06
GBRTENW  1841-1844     42.99    39.73    41.34
GBRTENW  1845-1849     43.20    39.72    41.44
GBRTENW  1850-1854     44.40    40.94    42.65
GBRTENW  1855-1859     45.27    41.64    43.43
GBRTENW  1860-1864     46.91    43.05    44.96
GBRTENW  1865-1869     47.85    43.77    45.79
GBRTENW  1870-1874     50.15    45.67    47.89
GBRTENW  1875-1879     51.62    46.16    48.87
GBRTENW  1880-1884     53.83    47.34    50.59
GBRTENW  1885-1889     54.34    46.04    50.20
GBRTENW  1890-1894     55.24    45.03    50.11
GBRTENW  1895-1899     55.87    45.47    50.59
GBRTENW  1900-1904     58.74    51.77    55.21
GBRTENW  1905-1909     61.58    54.65    58.06
GBRTENW  1910-1914     63.19    56.01    59.54
GBRTENW  1915-1919     66.13    58.14    62.05
GBRTENW  1920-1924     68.80    60.58    64.58
GBRTENW  1925-1929     71.15    64.22    67.60
GBRTENW  1930-1931     73.12    67.12    70.06
ISL      1838-1839     33.77    30.31    32.05
ISL      1840-1844     41.21    34.40    37.75
ISL      1845-1849     33.70    27.94    30.73
ISL      1850-1854     41.45    36.14    38.77
ISL      1855-1859     37.17    32.22    34.67
ISL      1860-1864     41.25    35.33    38.24
ISL      1865-1869     41.56    35.63    38.53
ISL      1870-1874     43.35    37.27    40.26
ISL      1875-1879     47.43    42.25    44.84
ISL      1880-1884     43.20    38.55    40.82
ISL      1885-1889     53.30    48.45    50.82
ISL      1890-1894     57.66    52.56    55.05
ISL      1895-1899     57.38    53.55    55.45
ISL      1900-1904     60.16    55.27    57.63
ISL      1905-1909     60.92    54.93    57.79
ISL      1910-1914     66.22    59.43    62.71
ISL      1915-1919     68.65    61.59    64.97
ISL      1920-1924     71.86    65.45    68.53
ISL      1925-1929     74.55    68.24    71.26
ISL      1930-1932     76.06    70.73    73.31
ITA      1872-1874     37.03    35.73    36.37
ITA      1875-1879     38.96    37.51    38.22
ITA      1880-1884     39.58    37.19    38.40
ITA      1885-1889     42.79    38.71    40.78
ITA      1890-1894     45.32    38.22    41.74
ITA      1895-1899     48.17    40.99    44.54
ITA      1900-1904     50.67    46.30    48.49
ITA      1905-1909     53.04    48.13    50.57
ITA      1910-1914     56.03    50.17    53.10
ITA      1915-1919     56.48    49.17    52.78
ITA      1920-1924     62.48    53.56    57.94
ITA      1925-1929     65.59    58.34    61.92
ITA      1930-1931     68.14    61.23    64.66
NLD      1850-1854     41.45    39.40    40.40
NLD      1855-1859     40.53    38.51    39.50
NLD      1860-1864     43.05    40.82    41.91
NLD      1865-1869     43.99    41.57    42.75
NLD      1870-1874     45.58    43.14    44.33
NLD      1875-1879     47.54    44.84    46.15
NLD      1880-1884     49.15    46.27    47.67
NLD      1885-1889     51.82    48.70    50.22
NLD      1890-1894     54.66    50.53    52.56
NLD      1895-1899     57.35    52.21    54.76
NLD      1900-1904     59.96    53.97    56.94
NLD      1905-1909     63.46    56.63    60.03
NLD      1910-1914     65.92    58.62    62.25
NLD      1915-1919     67.91    59.98    63.89
NLD      1920-1924     71.89    63.73    67.76
NLD      1925-1929     74.37    66.87    70.56
NLD      1930-1931     76.00    69.27    72.56
NOR      1846-1849     51.80    48.81    50.31
NOR      1850-1854     52.80    49.88    51.36
NOR      1855-1859     51.73    49.06    50.41
NOR      1860-1864     51.42    48.27    49.88
NOR      1865-1869     52.87    49.38    51.17
NOR      1870-1874     53.12    49.83    51.49
NOR      1875-1879     53.77    50.51    52.16
NOR      1880-1884     54.56    51.08    52.85
NOR      1885-1889     56.03    52.63    54.36
NOR      1890-1894     58.73    54.06    56.38
NOR      1895-1899     60.89    55.44    58.14
NOR      1900-1904     63.90    58.10    60.98
NOR      1905-1909     66.89    60.57    63.69
NOR      1910-1914     69.25    62.27    65.67
NOR      1915-1919     71.43    63.65    67.44
NOR      1920-1924     74.27    66.38    70.21
NOR      1925-1929     75.86    68.52    72.08
NOR      1930-1932     77.34    70.11    73.62
SWE      1751-1754     36.28    33.36    34.81
SWE      1755-1759     36.74    33.71    35.22
SWE      1760-1764     35.95    32.67    34.32
SWE      1765-1769     35.53    32.30    33.92
SWE      1770-1774     36.18    33.08    34.64
SWE      1775-1779     37.34    33.74    35.54
SWE      1780-1784     38.08    34.57    36.34
SWE      1785-1789     39.07    35.34    37.22
SWE      1790-1794     40.09    35.92    37.99
SWE      1795-1799     39.59    35.62    37.58
SWE      1800-1804     40.83    36.37    38.56
SWE      1805-1809     39.95    35.75    37.82
SWE      1810-1814     42.76    38.55    40.63
SWE      1815-1819     44.74    40.67    42.67
SWE      1820-1824     47.32    43.43    45.36
SWE      1825-1829     46.35    42.51    44.42
SWE      1830-1834     47.85    43.82    45.82
SWE      1835-1839     48.13    44.16    46.13
SWE      1840-1844     48.86    45.01    46.93
SWE      1845-1849     48.24    44.65    46.44
SWE      1850-1854     47.73    44.42    46.06
SWE      1855-1859     48.80    45.70    47.24
SWE      1860-1864     49.64    46.78    48.21
SWE      1865-1869     49.79    47.22    48.50
