Life expectancy at birth (period, 1x5) 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year       Female    Male     Total
AUS      1921-1924     64.12    60.18    61.99
AUS      1925-1929     65.09    61.16    62.98
AUS      1930-1934     67.18    63.44    65.19
AUS      1935-1939     67.67    63.55    65.50
AUS      1940-1944     68.57    64.55    66.47
AUS      1945-1949     70.85    66.31    68.49
AUS      1950-1954     72.15    66.66    69.28
AUS      1955-1959     73.51    67.49    70.36
AUS      1960-1964     74.22    67.83    70.88
AUS      1965-1969     74.36    67.65    70.85
AUS      1970-1974     75.12    68.26    71.56
AUS      1975-1979     77.04    70.00    73.42
AUS      1980-1984     78.52    71.63    75.01
AUS      1985-1989     79.26    72.88    76.03
AUS      1990-1994     80.59    74.58    77.57
AUS      1995-1999     81.54    75.88    78.72
AUS      2000-2004     82.70    77.62    80.18
AUS      2005-2009     83.66    79.02    81.36
AUS      2010-2014     84.37    80.20    82.30
AUS      2015-2019     84.95    80.89    82.92
AUS      2020-2021     85.56    81.56    83.56
AUT      1947-1949     65.15    60.15    62.72
AUT      1950-1954     68.77    63.55    66.24
AUT      1955-1959     70.84    64.79    67.91
AUT      1960-1964     72.61    66.25    69.55
AUT      1965-1969     73.29    66.67    70.11
AUT      1970-1974     74.05    67.01    70.67
AUT      1975-1979     75.36    68.30    71.99
AUT      1980-1984     76.55    69.41    73.15
AUT      1985-1989     78.03    71.26    74.83
AUT      1990-1994     79.19    72.57    76.06
AUT      1995-1999     80.44    74.04    77.39
AUT      2000-2004     81.59    75.76    78.81
AUT      2005-2009     82.70    77.20    80.05
AUT      2010-2014     83.43    78.28    80.93
AUT      2015-2019     83.93    79.19    81.61
AUT      2020-2023     83.87    79.06    81.48
BEL      1841-1844     40.22    40.42    40.32
BEL      1845-1849     37.39    37.07    37.24
BEL      1850-1854     41.40    41.42    41.42
BEL      1855-1859     39.93    39.21    39.57
BEL      1860-1864     42.57    41.52    42.03
BEL      1865-1869     40.23    38.58    39.38
BEL      1870-1874     41.54    39.61    40.54
BEL      1875-1879     44.99    42.48    43.69
BEL      1880-1884     45.84    42.90    44.32
BEL      1885-1889     46.65    43.40    44.97
BEL      1890-1894     46.29    42.77    44.47
BEL      1895-1899     49.16    45.72    47.39
BEL      1900-1904     50.47    47.12    48.75
BEL      1905-1909     51.92    48.62    50.23
BEL      1910-1914     53.11    49.56    51.30
BEL      1915-1919         .        .        .
BEL      1920-1924     57.40    53.83    55.59
BEL      1925-1929     58.54    54.90    56.69
BEL      1930-1934     60.59    56.65    58.58
BEL      1935-1939     62.23    57.87    60.00
BEL      1940-1944     61.62    55.06    58.19
BEL      1945-1949     65.62    60.16    62.82
BEL      1950-1954     70.13    65.12    67.59
BEL      1955-1959     72.09    66.71    69.37
BEL      1960-1964     73.23    67.28    70.21
BEL      1965-1969     73.83    67.62    70.68
BEL      1970-1974     74.67    68.22    71.40
BEL      1975-1979     75.85    69.28    72.54
BEL      1980-1984     77.15    70.46    73.80
BEL      1985-1989     78.46    71.77    75.13
BEL      1990-1994     79.65    72.97    76.34
BEL      1995-1999     80.53    74.03    77.32
BEL      2000-2004     81.26    75.18    78.26
BEL      2005-2009     82.18    76.67    79.48
BEL      2010-2014     82.93    77.84    80.43
BEL      2015-2019     83.61    79.01    81.35
BEL      2020-2023     83.72    79.32    81.54
BGR      1947-1949     57.58    54.45    56.00
BGR      1950-1954     63.66    60.34    61.98
BGR      1955-1959     68.01    64.64    66.31
BGR      1960-1964     71.84    68.31    70.06
BGR      1965-1969     72.99    68.90    70.90
BGR      1970-1974     73.44    68.85    71.08
BGR      1975-1979     73.69    68.62    71.08
BGR      1980-1984     74.18    68.49    71.23
BGR      1985-1989     74.65    68.29    71.35
BGR      1990-1994     74.79    67.75    71.13
BGR      1995-1999     74.61    67.42    70.89
BGR      2000-2004     75.63    68.72    72.09
BGR      2005-2009     76.69    69.56    73.05
BGR      2010-2014     77.87    70.87    74.31
BGR      2015-2019     78.43    71.39    74.85
BGR      2020-2021     76.24    68.98    72.46
BLR      1960-1964     75.26    68.35    72.29
BLR      1965-1969     76.44    68.91    73.16
BLR      1970-1974     76.52    68.17    72.80
BLR      1975-1979     76.20    66.65    71.81
BLR      1980-1984     75.87    65.91    71.20
BLR      1985-1989     76.02    67.06    71.83
BLR      1990-1994     75.07    64.71    69.97
BLR      1995-1999     74.17    62.68    68.32
BLR      2000-2004     74.58    62.79    68.53
BLR      2005-2009     75.87    63.97    69.82
BLR      2010-2014     77.45    66.15    71.82
BLR      2015-2018     79.13    69.01    74.23
CAN      1921-1924     58.58    56.40    57.47
CAN      1925-1929     59.71    57.25    58.44
CAN      1930-1934     62.36    59.91    61.08
CAN      1935-1939     64.11    61.35    62.65
CAN      1940-1944     66.29    62.83    64.45
CAN      1945-1949     68.97    65.08    66.89
CAN      1950-1954     71.48    66.64    68.89
CAN      1955-1959     73.21    67.65    70.23
CAN      1960-1964     74.53    68.43    71.27
CAN      1965-1969     75.60    68.94    72.07
CAN      1970-1974     76.64    69.56    72.92
CAN      1975-1979     77.96    70.65    74.17
CAN      1980-1984     79.28    72.32    75.74
CAN      1985-1989     80.05    73.45    76.73
CAN      1990-1994     80.80    74.57    77.70
CAN      1995-1999     81.24    75.62    78.47
CAN      2000-2004     82.03    77.06    79.61
CAN      2005-2009     82.84    78.25    80.61
CAN      2010-2014     83.68    79.47    81.63
CAN      2015-2019     84.06    79.86    81.99
CAN      2020-2023     83.81    79.25    81.52
CHE      1876-1879     42.17    39.14    40.63
CHE      1880-1884     44.79    42.21    43.48
CHE      1885-1889     46.29    43.85    45.06
CHE      1890-1894     47.12    44.47    45.79
CHE      1895-1899     50.05    46.95    48.49
CHE      1900-1904     50.61    47.91    49.26
CHE      1905-1909     52.62    49.62    51.11
CHE      1910-1914     55.35    52.00    53.67
CHE      1915-1919     55.40    51.87    53.63
CHE      1920-1924     59.48    56.50    58.00
CHE      1925-1929     61.87    58.56    60.23
CHE      1930-1934     63.73    59.85    61.80
CHE      1935-1939     65.26    61.31    63.31
CHE      1940-1944     67.11    62.76    64.96
CHE      1945-1949     68.60    64.51    66.59
CHE      1950-1954     71.63    66.97    69.34
CHE      1955-1959     73.25    68.10    70.72
CHE      1960-1964     74.43    68.68    71.59
CHE      1965-1969     75.45    69.65    72.58
CHE      1970-1974     76.77    70.59    73.72
CHE      1975-1979     78.46    71.85    75.20
CHE      1980-1984     79.41    72.70    76.10
CHE      1985-1989     80.56    73.80    77.24
CHE      1990-1994     81.25    74.51    77.94
CHE      1995-1999     82.13    76.11    79.21
CHE      2000-2004     82.98    77.67    80.43
CHE      2005-2009     83.97    79.22    81.69
CHE      2010-2014     84.70    80.45    82.66
CHE      2015-2019     85.28    81.43    83.42
CHE      2020-2023     85.47    81.61    83.57
CHL      1992-1994     77.78    71.57    74.70
CHL      1995-1999     78.84    72.38    75.62
CHL      2000-2004     80.20    73.98    77.12
CHL      2005-2009     81.00    75.01    78.05
CHL      2010-2014     81.49    75.94    78.77
CHL      2015-2019     82.30    77.06    79.74
CZE      1950-1954     68.82    63.91    66.38
CZE      1955-1959     72.09    66.70    69.43
CZE      1960-1964     73.36    67.33    70.38
CZE      1965-1969     73.43    66.69    70.06
CZE      1970-1974     73.46    66.46    69.94
CZE      1975-1979     74.19    67.12    70.65
CZE      1980-1984     74.31    67.13    70.69
CZE      1985-1989     75.07    67.80    71.41
CZE      1990-1994     76.07    68.58    72.31
CZE      1995-1999     77.48    70.54    74.04
CZE      2000-2004     78.68    72.07    75.41
CZE      2005-2009     79.96    73.64    76.84
CZE      2010-2014     81.07    74.98    78.06
CZE      2015-2019     81.82    75.98    78.92
CZE      2020-2021     80.90    74.66    77.73
DEUTE    1956-1959     70.80    66.23    68.67
DEUTE    1960-1964     72.17    67.33    69.93
DEUTE    1965-1969     73.19    68.11    70.86
DEUTE    1970-1974     73.92    68.62    71.51
DEUTE    1975-1979     74.58    68.80    71.94
DEUTE    1980-1984     75.10    69.19    72.40
DEUTE    1985-1989     75.85    69.79    73.05
DEUTE    1990-1994     77.21    69.89    73.70
DEUTE    1995-1999     79.44    72.32    76.03
DEUTE    2000-2004     81.13    74.43    77.90
DEUTE    2005-2009     82.19    75.94    79.13
DEUTE    2010-2014     82.89    76.94    79.93
DEUTE    2015-2019     83.30    77.53    80.39
DEUTNP   1990-1994     78.98    72.41    75.87
DEUTNP   1995-1999     80.21    73.86    77.18
DEUTNP   2000-2004     81.35    75.44    78.52
DEUTNP   2005-2009     82.29    76.87    79.66
DEUTNP   2010-2014     82.91    77.92    80.46
DEUTNP   2015-2019     83.26    78.49    80.89
DEUTW    1956-1959     71.45    66.31    68.97
DEUTW    1960-1964     72.69    67.06    69.98
DEUTW    1965-1969     73.50    67.47    70.62
DEUTW    1970-1974     74.13    67.69    71.06
DEUTW    1975-1979     75.57    68.92    72.42
DEUTW    1980-1984     77.16    70.49    74.03
DEUTW    1985-1989     78.60    72.07    75.55
DEUTW    1990-1994     79.44    73.03    76.42
DEUTW    1995-1999     80.40    74.22    77.46
DEUTW    2000-2004     81.41    75.69    78.67
DEUTW    2005-2009     82.32    77.09    79.79
DEUTW    2010-2014     82.92    78.14    80.58
DEUTW    2015-2019     83.25    78.73    81.01
DNK      1835-1839     42.40    39.60    40.97
DNK      1840-1844     44.08    41.66    42.86
DNK      1845-1849     42.36    39.50    40.91
DNK      1850-1854     44.24    41.30    42.74
DNK      1855-1859     44.88    42.82    43.84
DNK      1860-1864     46.59    44.42    45.49
DNK      1865-1869     44.65    43.02    43.83
DNK      1870-1874     47.53    45.72    46.61
DNK      1875-1879     47.26    45.36    46.30
DNK      1880-1884     48.32    46.43    47.36
DNK      1885-1889     49.40    47.30    48.34
DNK      1890-1894     48.78    46.38    47.57
DNK      1895-1899     53.42    50.34    51.86
DNK      1900-1904     55.62    52.28    53.94
DNK      1905-1909     57.30    54.40    55.85
DNK      1910-1914     59.58    56.56    58.07
DNK      1915-1919     58.33    55.84    57.09
DNK      1920-1924     61.30    59.68    60.47
DNK      1925-1929     62.52    60.93    61.71
DNK      1930-1934     63.82    61.97    62.88
DNK      1935-1939     65.31    63.14    64.21
DNK      1940-1944     67.65    65.64    66.63
DNK      1945-1949     69.53    67.23    68.37
DNK      1950-1954     72.22    69.59    70.90
DNK      1955-1959     73.71    70.40    72.04
DNK      1960-1964     74.42    70.40    72.39
DNK      1965-1969     75.21    70.53    72.84
DNK      1970-1974     76.33    70.88    73.56
DNK      1975-1979     77.24    71.32    74.23
DNK      1980-1984     77.47    71.43    74.41
DNK      1985-1989     77.64    71.81    74.71
DNK      1990-1994     77.91    72.49    75.20
DNK      1995-1999     78.47    73.49    76.00
DNK      2000-2004     79.51    74.87    77.22
DNK      2005-2009     80.69    76.26    78.50
DNK      2010-2014     82.04    77.95    80.02
DNK      2015-2019     83.00    79.06    81.04
DNK      2020-2024     83.50    79.70    81.60
ESP      1908-1909     42.27    40.26    41.25
ESP      1910-1914     43.12    41.11    42.10
ESP      1915-1919     40.70    38.93    39.80
ESP      1920-1924     44.76    42.25    43.48
ESP      1925-1929     49.93    46.82    48.35
ESP      1930-1934     52.61    49.04    50.80
ESP      1935-1939     53.34    45.29    49.13
ESP      1940-1944     55.30    48.48    51.82
ESP      1945-1949     62.08    56.60    59.36
ESP      1950-1954     66.39    61.79    64.15
ESP      1955-1959     69.81    65.11    67.52
ESP      1960-1964     72.24    67.15    69.76
ESP      1965-1969     73.93    68.47    71.25
ESP      1970-1974     75.30    69.66    72.53
ESP      1975-1979     77.16    71.18    74.22
ESP      1980-1984     79.10    72.85    76.02
ESP      1985-1989     80.12    73.43    76.80
ESP      1990-1994     81.13    73.89    77.51
ESP      1995-1999     82.21    75.10    78.66
ESP      2000-2004     83.19    76.42    79.82
ESP      2005-2009     84.19    77.85    81.04
ESP      2010-2014     85.23    79.46    82.39
ESP      2015-2019     85.74    80.26    83.04
ESP      2020-2023     85.70    80.24    83.00
EST      1960-1964     73.39    65.38    69.85
EST      1965-1969     74.42    66.01    70.64
EST      1970-1974     74.73    65.70    70.57
EST      1975-1979     74.47    64.50    69.74
EST      1980-1984     74.45    64.37    69.62
EST      1985-1989     74.91    65.84    70.61
EST      1990-1994     74.36    63.18    68.77
EST      1995-1999     75.47    63.95    69.69
EST      2000-2004     77.04    65.90    71.50
EST      2005-2009     79.02    68.28    73.76
EST      2010-2014     81.09    71.69    76.61
EST      2015-2019     82.23    73.65    78.17
FIN      1878-1879     43.08    40.99    42.05
FIN      1880-1884     42.13    39.16    40.64
FIN      1885-1889     44.83    42.27    43.55
