Exposure to risk (period 5x10), 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age             Female            Male           Total
AUS      1921-1929        0            570597.82       594760.88      1165358.70
AUS      1921-1929      1-4           2207786.76      2287217.87      4495004.63
AUS      1921-1929      5-9           2687862.55      2777936.13      5465798.67
AUS      1921-1929     10-14          2591919.92      2655322.83      5247242.76
AUS      1921-1929     15-19          2346144.74      2437037.57      4783182.31
AUS      1921-1929     20-24          2159129.20      2240147.69      4399276.89
AUS      1921-1929     25-29          2133752.77      2122466.17      4256218.94
AUS      1921-1929     30-34          2112480.08      2101827.44      4214307.53
AUS      1921-1929     35-39          1946851.63      2019858.38      3966710.01
AUS      1921-1929     40-44          1669292.31      1763601.25      3432893.56
AUS      1921-1929     45-49          1393036.39      1483736.99      2876773.38
AUS      1921-1929     50-54          1185604.01      1281042.84      2466646.84
AUS      1921-1929     55-59          1013639.18      1129374.60      2143013.78
AUS      1921-1929     60-64           827987.59       938698.48      1766686.07
AUS      1921-1929     65-69           598914.21       672054.83      1270969.04
AUS      1921-1929     70-74           366336.50       394694.69       761031.19
AUS      1921-1929     75-79           209035.09       205051.36       414086.44
AUS      1921-1929     80-84           117752.22       103233.49       220985.70
AUS      1921-1929     85-89            46392.28        38204.91        84597.19
AUS      1921-1929     90-94            13407.53        10252.34        23659.86
AUS      1921-1929     95-99             2477.78         1912.55         4390.33
AUS      1921-1929    100-104             260.66          300.05          560.71
AUS      1921-1929    105-109              19.29           61.26           80.56
AUS      1921-1929    110+                  0.24            5.88            6.12
AUS      1930-1939        0            554375.44       579056.08      1133431.52
AUS      1930-1939      1-4           2224277.21      2318012.22      4542289.43
AUS      1930-1939      5-9           2983107.98      3085843.17      6068951.15
AUS      1930-1939     10-14          3070800.35      3160102.32      6230902.67
AUS      1930-1939     15-19          3028443.20      3116133.83      6144577.02
AUS      1930-1939     20-24          2906117.13      3009634.34      5915751.48
AUS      1930-1939     25-29          2639783.90      2816305.83      5456089.73
AUS      1930-1939     30-34          2434974.65      2576590.67      5011565.32
AUS      1930-1939     35-39          2361197.64      2380503.13      4741700.76
AUS      1930-1939     40-44          2277346.34      2280290.10      4557636.44
AUS      1930-1939     45-49          2052298.84      2117145.76      4169444.60
AUS      1930-1939     50-54          1712307.44      1789209.43      3501516.88
AUS      1930-1939     55-59          1397204.49      1435562.54      2832767.03
AUS      1930-1939     60-64          1151737.84      1162397.07      2314134.91
AUS      1930-1939     65-69           927993.98       937124.95      1865118.92
AUS      1930-1939     70-74           672091.68       675594.67      1347686.35
AUS      1930-1939     75-79           396306.68       379855.85       776162.53
AUS      1930-1939     80-84           192453.04       168856.90       361309.94
AUS      1930-1939     85-89            69549.72        52085.55       121635.27
AUS      1930-1939     90-94            18750.42        12600.94        31351.36
AUS      1930-1939     95-99             3242.47         2218.44         5460.91
AUS      1930-1939    100-104             279.46          300.23          579.69
AUS      1930-1939    105-109              14.83           33.25           48.08
AUS      1930-1939    110+                  1.25            0.95            2.19
AUS      1940-1949        0            737567.34       771603.52      1509170.86
AUS      1940-1949      1-4           2638135.45      2747310.30      5385445.75
AUS      1940-1949      5-9           2822314.45      2927081.75      5749396.20
AUS      1940-1949     10-14          2768930.49      2865742.80      5634673.29
AUS      1940-1949     15-19          3000665.46      3060594.35      6061259.81
AUS      1940-1949     20-24          3075067.79      3117417.05      6192484.84
AUS      1940-1949     25-29          3028127.36      3030339.79      6058467.14
AUS      1940-1949     30-34          2887639.87      2938001.79      5825641.66
AUS      1940-1949     35-39          2597596.40      2759403.32      5356999.72
AUS      1940-1949     40-44          2368104.53      2502675.84      4870780.37
AUS      1940-1949     45-49          2267004.86      2271159.00      4538163.86
AUS      1940-1949     50-54          2148540.71      2113877.75      4262418.46
AUS      1940-1949     55-59          1892860.80      1885346.49      3778207.29
AUS      1940-1949     60-64          1532441.87      1493235.07      3025676.93
AUS      1940-1949     65-69          1172672.51      1083309.91      2255982.42
AUS      1940-1949     70-74           859452.28       762706.79      1622159.07
AUS      1940-1949     75-79           574541.04       491559.26      1066100.29
