Age-standardized death rates (period 5x1), 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Female_1976      Male_1976      Total_1976      Female_2013      Male_2013      Total_2013
AUS        1921           0.013727        0.017178        0.015503        0.021184        0.026069        0.023665
AUS        1922           0.013280        0.016726        0.015065        0.021158        0.026065        0.023664
AUS        1923           0.014513        0.017704        0.016146        0.023248        0.027787        0.025541
AUS        1924           0.013608        0.016987        0.015351        0.021647        0.026679        0.024197
AUS        1925           0.013048        0.016617        0.014867        0.020801        0.026053        0.023432
AUS        1926           0.013405        0.017094        0.015277        0.021307        0.027058        0.024150
AUS        1927           0.013573        0.016850        0.015220        0.021661        0.026596        0.024090
AUS        1928           0.013646        0.016517        0.015120        0.021805        0.025896        0.023880
AUS        1929           0.013541        0.017351        0.015468        0.022004        0.027595        0.024787
AUS        1930           0.012099        0.015179        0.013631        0.019415        0.023951        0.021635
AUS        1931           0.012354        0.015546        0.013943        0.020121        0.024923        0.022479
AUS        1932           0.012181        0.015386        0.013799        0.019825        0.024702        0.022253
AUS        1933           0.012464        0.015686        0.014081        0.020517        0.025295        0.022889
AUS        1934           0.012857        0.016144        0.014463        0.020913        0.026010        0.023361
AUS        1935           0.012817        0.016179        0.014449        0.021003        0.026052        0.023411
AUS        1936           0.012420        0.015810        0.014148        0.020142        0.025200        0.022670
AUS        1937           0.012190        0.015688        0.013890        0.020037        0.025303        0.022552
AUS        1938           0.012393        0.015736        0.014015        0.020539        0.025430        0.022877
AUS        1939           0.012646        0.016482        0.014515        0.021201        0.026986        0.023973
AUS        1940           0.011962        0.015955        0.013890        0.019859        0.025756        0.022660
AUS        1941           0.012396        0.016070        0.014198        0.020716        0.026160        0.023331
AUS        1942           0.013039        0.016789        0.014828        0.021789        0.027591        0.024505
AUS        1943           0.012500        0.016549        0.014555        0.020989        0.027308        0.024139
AUS        1944           0.011850        0.014773        0.013409        0.019842        0.024426        0.022227
AUS        1945           0.011681        0.014663        0.013265        0.019690        0.024381        0.022120
AUS        1946           0.011485        0.015469        0.013366        0.019560        0.025834        0.022454
AUS        1947           0.010962        0.014862        0.012814        0.018745        0.024555        0.021446
AUS        1948           0.011196        0.015490        0.013201        0.019392        0.025816        0.022325
AUS        1949           0.010624        0.014933        0.012648        0.018310        0.024851        0.021310
AUS        1950           0.011171        0.015205        0.013222        0.019325        0.025334        0.022315
AUS        1951           0.011291        0.015581        0.013474        0.019549        0.026039        0.022761
AUS        1952           0.010588        0.015187        0.012743        0.018440        0.025251        0.021552
AUS        1953           0.010607        0.014572        0.012625        0.018419        0.024307        0.021340
AUS        1954           0.010089        0.014693        0.012215        0.017690        0.024709        0.020839
AUS        1955           0.009774        0.014665        0.012085        0.017166        0.024634        0.020587
AUS        1956           0.010236        0.015404        0.012595        0.018083        0.026125        0.021633
AUS        1957           0.009880        0.014911        0.012154        0.017334        0.024935        0.020655
AUS        1958           0.009138        0.013983        0.011342        0.016081        0.023492        0.019331
AUS        1959           0.009522        0.014681        0.011880        0.016828        0.024667        0.020290
AUS        1960           0.009185        0.014648        0.011491        0.016205        0.024614        0.019631
AUS        1961           0.008964        0.014451        0.011301        0.015817        0.024268        0.019278
AUS        1962           0.009129        0.014380        0.011502        0.016116        0.024273        0.019645
AUS        1963           0.009079        0.014331        0.011441        0.015979        0.024094        0.019481
AUS        1964           0.009368        0.015002        0.011877        0.016562        0.025305        0.020289
AUS        1965           0.009233        0.014754        0.011700        0.016197        0.024811        0.019865
AUS        1966           0.009353        0.015046        0.011853        0.016560        0.025413        0.020279
AUS        1967           0.009012        0.014582        0.011478        0.015825        0.024433        0.019468
AUS        1968           0.009335        0.015346        0.011979        0.016565        0.026010        0.020527
AUS        1969           0.008826        0.014579        0.011353        0.015488        0.024403        0.019218
AUS        1970           0.009301        0.014986        0.011829        0.016334        0.025270        0.020106
AUS        1971           0.008704        0.014103        0.011074        0.015385        0.023951        0.018943
AUS        1972           0.008489        0.013980        0.010893        0.015020        0.023749        0.018633
AUS        1973           0.008294        0.013855        0.010719        0.014722        0.023443        0.018328
AUS        1974           0.008554        0.014213        0.011012        0.015244        0.024264        0.018941
AUS        1975           0.007779        0.013123        0.010093        0.013753        0.022237        0.017216
AUS        1976           0.007852        0.013280        0.010205        0.014065        0.022785        0.017627
AUS        1977           0.007383        0.012565        0.009605        0.013144        0.021377        0.016475
AUS        1978           0.007209        0.012334        0.009409        0.012823        0.021025        0.016145
AUS        1979           0.006865        0.011833        0.009019        0.012307        0.020236        0.015548
AUS        1980           0.006771        0.011793        0.008937        0.012183        0.020255        0.015466
AUS        1981           0.006651        0.011649        0.008787        0.011964        0.020088        0.015229
AUS        1982           0.006830        0.011742        0.008944        0.012344        0.020413        0.015607
AUS        1983           0.006410        0.010991        0.008352        0.011507        0.019048        0.014514
AUS        1984           0.006460        0.010907        0.008367        0.011671        0.018997        0.014623
AUS        1985           0.006598        0.010979        0.008468        0.011998        0.019278        0.014913
AUS        1986           0.006207        0.010325        0.007985        0.011261        0.018035        0.014012
AUS        1987           0.006236        0.010410        0.008074        0.011349        0.018277        0.014198
AUS        1988           0.006062        0.010197        0.007834        0.011054        0.017952        0.013830
AUS        1989           0.006280        0.010488        0.008072        0.011559        0.018617        0.014391
AUS        1990           0.005815        0.009611        0.007456        0.010604        0.016965        0.013185
AUS        1991           0.005659        0.009303        0.007232        0.010312        0.016455        0.012805
AUS        1992           0.005652        0.009319        0.007230        0.010378        0.016576        0.012889
AUS        1993           0.005444        0.008911        0.006960        0.009969        0.015877        0.012392
AUS        1994           0.005545        0.009174        0.007096        0.010242        0.016457        0.012747
AUS        1995           0.005353        0.008674        0.006792        0.009875        0.015522        0.012186
AUS        1996           0.005315        0.008691        0.006771        0.009824        0.015630        0.012183
AUS        1997           0.005247        0.008406        0.006609        0.009714        0.015109        0.011915
AUS        1998           0.005008        0.008082        0.006350        0.009258        0.014530        0.011430
AUS        1999           0.004880        0.007821        0.006172        0.009060        0.014092        0.011151
AUS        2000           0.004856        0.007702        0.006092        0.008994        0.013907        0.011011
AUS        2001           0.004672        0.007374        0.005854        0.008690        0.013327        0.010611
AUS        2002           0.004736        0.007392        0.005889        0.008815        0.013493        0.010733
AUS        2003           0.004566        0.007065        0.005679        0.008508        0.012866        0.010341
AUS        2004           0.004442        0.006899        0.005524        0.008281        0.012582        0.010075
